
# Downloaded from https://www.nutritionvalue.org 
# Spaghetti, cooked, spinach
# Serving size 1 cup = 140 g
Nutrient, Amount, Unit
"Calories", 182.00, kcal
"Fat", 0.88, g
"Protein", 6.41, g
"Carbohydrate", 36.61, g
"Retinol", 0.00, mcg
"Vitamin A", 212.80, IU
"Cholesterol", 0.00, mg
"Hexadecenoic acid", 0.000, g
"Copper, Cu", 0.287, mg
"Eicosenoic acid", 0.000, g
"Selenium, Se", 30.9, mcg
"Octadecadienoic acid", 0.318, g
"Manganese, Mn", 2.106, mg
"Monounsaturated fatty acids", 0.101, g
"Glycine", 0.204, g
"Octadecenoic acid", 0.101, g
"Water", 95.40, g
"Hexadecanoic acid", 0.109, g
"Serine", 0.305, g
"Riboflavin", 0.144, mg
"Niacin", 2.142, mg
"Vitamin A, RAE", 11.20, mcg
"Thiamin", 0.136, mg
"Vitamin C", 0.0, mg
"Vitamin D", 0.00, IU
"Methionine", 0.099, g
"Cystine", 0.176, g
"Vitamin D (D2 + D3)", 0.0, mcg
"Lysine", 0.132, g
"Threonine", 0.172, g
"Isoleucine", 0.248, g
"Tryptophan", 0.081, g
"Zinc, Zn", 1.51, mg
"Phenylalanine", 0.308, g
"Ash", 0.70, g
"Tetradecanoic acid", 0.003, g
"Calcium, Ca", 42.00, mg
"Iron, Fe", 1.46, mg
"Magnesium, Mg", 86.80, mg
"Phosphorus, P", 151.20, mg
"Potassium, K", 81.20, mg
"Sodium, Na", 19.60, mg
"Octadecanoic acid", 0.015, g
"Saturated fatty acids", 0.127, g
"Leucine", 0.437, g
"Tyrosine", 0.171, g
"Histidine", 0.130, g
"Glutamic acid", 2.267, g
"Folate, food", 16.80, mcg
"Octadecatrienoic acid", 0.042, g
"Vitamin B6", 0.134, mg
"Folate", 16.80, mcg
"Pantothenic acid", 0.256, mg
"Polyunsaturated fatty acids", 0.360, g
"Arginine", 0.238, g
"Valine", 0.274, g
"Alanine", 0.192, g
"Folate, DFE", 16.80, mcg
"Vitamin B12", 0.00, mcg
"Aspartic acid", 0.277, g
"Proline", 0.683, g
"Folic acid", 0.00, mcg
# Downloaded from https://www.nutritionvalue.org 
