
# Downloaded from https://www.nutritionvalue.org 
# Breakfast bars, coconut (include granola bar), raisins, sugar, oats
# Serving size 100g
Nutrient, Amount, Unit
"Calories", 464.00, kcal
"Fat", 17.60, g
"Protein", 9.80, g
"Carbohydrate", 66.70, g
"Retinol", 0.00, mcg
"Vitamin A", 152.00, IU
"Cholesterol", 0.00, mg
"Lutein + zeaxanthin", 107.00, mcg
"Docosapentaenoic n-3 acid", 0.000, g
"Hexanoic acid", 0.081, g
"Copper, Cu", 0.360, mg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.001, g
"Selenium, Se", 16.0, mcg
"Butanoic acid", 0.000, g
"Thiamin", 0.280, mg
"Saturated fatty acids", 12.690, g
"Octadecatetraenoic acid", 0.000, g
"Octadecenoic acid", 1.926, g
"Eicosatetraenoic acid", 0.000, g
"Water", 4.10, g
"Hexadecanoic acid", 1.701, g
"Niacin", 1.750, mg
"Riboflavin", 0.110, mg
"Carotene, alpha", 0.00, mcg
"Vitamin E", 0.82, mg
"Vitamin A, RAE", 8.00, mcg
"Carotene, beta", 91.00, mcg
"Vitamin D", 0.00, IU
"Calcium, Ca", 60.00, mg
"Choline", 27.6, mg
"Monounsaturated fatty acids", 1.933, g
"Vitamin D (D2 + D3)", 0.0, mcg
"Eicosapentaenoic n-3 acid", 0.000, g
"Docosenoic acid", 0.000, g
"Zinc, Zn", 1.60, mg
"Dodecanoic acid", 6.135, g
"Ash", 1.80, g
"Tetradecanoic acid", 2.357, g
"Decanoic acid", 0.802, g
"Iron, Fe", 3.18, mg
"Magnesium, Mg", 101.00, mg
"Phosphorus, P", 277.00, mg
"Potassium, K", 326.00, mg
"Sodium, Na", 251.00, mg
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Octadecanoic acid", 0.562, g
"Sugars", 27.52, g
"Cryptoxanthin, beta", 0.00, mcg
"Alcohol, ethyl", 0.0, g
"Folate, DFE", 81.00, mcg
"Folate, food", 81.00, mcg
"Octanoic acid", 1.005, g
"Vitamin C", 1.0, mg
"Octadecadienoic acid", 1.574, g
"Octadecatrienoic acid", 0.011, g
"Vitamin B6", 0.350, mg
"Folate", 81.00, mcg
"Hexadecenoic acid", 0.007, g
"Docosahexaenoic n-3 acid", 0.000, g
"Polyunsaturated fatty acids", 1.634, g
"Folic acid", 0.00, mcg
"Vitamin B12", 0.00, mcg
"Vitamin K", 15.9, mcg
"Fiber", 3.1, g
"Tocopherol, alpha", 0.82, mg
# Downloaded from https://www.nutritionvalue.org 
