
# Downloaded from https://www.nutritionvalue.org 
# Sandwich spread, beef, pork
# Serving size 1 oz = 28.35 g
Nutrient, Amount, Unit
"Calories", 66.62, kcal
"Fat", 4.92, g
"Protein", 2.17, g
"Carbohydrate", 3.38, g
"Hexadecenoic acid", 0.201, g
"Niacin", 0.490, mg
"Riboflavin", 0.038, mg
"Thiamin", 0.049, mg
"Vitamin C", 0.0, mg
"Eicosapentaenoic n-3 acid", 0.000, g
"Theobromine", 0.00, mg
"Caffeine", 0.00, mg
"Sugars", 0.00, g
"Vitamin B6", 0.034, mg
"Folate", 0.57, mcg
"Pantothenic acid", 0.122, mg
"Vitamin B12", 0.32, mcg
"Fiber", 0.1, g
"Retinol", 7.37, mcg
"Vitamin A", 24.66, IU
"Copper, Cu", 0.037, mg
"Selenium, Se", 2.7, mcg
"Octadecadienoic acid", 0.619, g
"Manganese, Mn", 0.007, mg
"Choline", 17.7, mg
"Zinc, Zn", 0.29, mg
"Calcium, Ca", 3.40, mg
"Iron, Fe", 0.22, mg
"Magnesium, Mg", 2.27, mg
"Phosphorus, P", 16.73, mg
"Potassium, K", 31.18, mg
"Sodium, Na", 287.19, mg
"Serine", 0.086, g
"Monounsaturated fatty acids", 2.150, g
"Polyunsaturated fatty acids", 0.727, g
"Arginine", 0.150, g
"Valine", 0.101, g
"Alanine", 0.132, g
"Histidine", 0.079, g
"Glutamic acid", 0.323, g
"Aspartic acid", 0.204, g
"Proline", 0.099, g
"Glycine", 0.125, g
"Docosahexaenoic n-3 acid", 0.000, g
"Eicosatetraenoic acid", 0.000, g
"Octadecatetraenoic acid", 0.000, g
"Lutein + zeaxanthin", 0.00, mcg
"Cryptoxanthin, beta", 0.00, mcg
"Lycopene", 0.00, mcg
"Eicosenoic acid", 0.000, g
"Betaine", 1.6, mg
"Water", 17.09, g
"Phenylalanine", 0.085, g
"Tyrosine", 0.067, g
"Methionine", 0.056, g
"Cystine", 0.030, g
"Leucine", 0.170, g
"Lysine", 0.188, g
"Threonine", 0.095, g
"Isoleucine", 0.095, g
"Tryptophan", 0.023, g
"Docosenoic acid", 0.000, g
"Docosapentaenoic n-3 acid", 0.000, g
"Phytosterols", 0.00, mg
"Alcohol, ethyl", 0.0, g
"Butanoic acid", 0.000, g
"Saturated fatty acids", 1.694, g
"Cholesterol", 10.77, mg
"Octanoic acid", 0.000, g
"Hexanoic acid", 0.000, g
"Carotene, alpha", 0.00, mcg
"Vitamin E", 0.49, mg
"Vitamin A, RAE", 7.37, mcg
"Carotene, beta", 0.00, mcg
"Vitamin D", 6.24, IU
"Vitamin D (D2 + D3)", 0.2, mcg
"Octadecatrienoic acid", 0.107, g
"Ash", 0.79, g
"Tetradecanoic acid", 0.082, g
"Hexadecanoic acid", 1.013, g
"Decanoic acid", 0.014, g
"Dodecanoic acid", 0.014, g
"Octadecenoic acid", 1.949, g
"Octadecanoic acid", 0.572, g
"Folate, DFE", 0.57, mcg
"Folate, food", 0.57, mcg
"Vitamin K", 0.5, mcg
"Folic acid", 0.00, mcg
"Tocopherol, alpha", 0.49, mg
# Downloaded from https://www.nutritionvalue.org 
